feature,pre_mean,post_mean,mean_shift_pct,pre_std,post_std,ks_statistic,ks_p_value,jensen_shannon_distance
room_count,138.01,182.34710743801654,32.12601075140682,58.940290257439884,38.86551829574249,0.3707107438016529,1.795475634377589e-12,0.48574869637931706
floor_num,13.0,10.785123966942148,-17.03750794659886,4.064115410287492,3.0827655645817114,0.27829752066115704,3.706094784492834e-07,0.31554978981155685
building_length,42.499801182772785,41.46160227256714,-2.442832392887706,4.333359047861741,4.214885354400511,0.14821487603305786,0.02446916218713603,0.3208122676865585
building_width,16.45107361653506,16.01773492172784,-2.6341058638973402,1.7139823661077644,1.8106988445564838,0.14145454545454544,0.036096805620424326,0.24116236108919156
cop_cooling,3.99998984758799,4.137403771788411,3.4353568243000066,0.5779588276998255,0.5765920330773222,0.12945454545454546,0.06884505223602642,0.22039441637892007
u_wall,0.5249771566520871,0.5483533560898849,4.452803163260244,0.15891923070543054,0.1516919420200165,0.10821487603305785,0.18751937207398844,0.22332910719097912
floor_height,3.0499907246914337,3.0354195472241643,-0.47774497638000124,0.1444833402472512,0.1328882804774148,0.09712396694214875,0.29432384148376767,0.2587910005572436
public_area,114.99944954473906,112.7839918208982,-1.9264941985474238,20.23181399570293,19.901024705316186,0.09216528925619835,0.35409150866046746,0.2121364773239671
occupancy_density,0.16500565377683138,0.15821821204734618,-4.113460099170396,0.04911815468099049,0.04871547473191486,0.0908099173553719,0.3717233492341491,0.22380216998051308
aspect_ratio,2.4999737179229866,2.5360869583335215,1.4445448026765062,0.28898346944180353,0.2996740357442225,0.08892561983471074,0.3970285607188281,0.25394768873197926
shgc_e,0.42502008776375977,0.4416806186903291,3.919939646671433,0.1300327294151859,0.13523567407602935,0.08348760330578513,0.47589380672937753,0.22044993391207965
cop_heating,3.200063861451672,3.1277187982328036,-2.2607381087091705,0.5779725269294256,0.5906979582397536,0.07981818181818182,0.5328348045084511,0.22728731087592768
equip_power,3.250039723997835,3.236865761650874,-0.40534773312728145,0.4333976216590901,0.46857413335700393,0.07808264462809918,0.5608031195395301,0.18959193376695954
wwr,0.4249995096031823,0.41523656732758635,-2.2971655390170875,0.10114340852607503,0.09369485197893862,0.07806611570247934,0.5611575392417782,0.2839284170671305
u_win_w,1.3999568523604629,1.4179139575771755,1.2826899047949425,0.34677003657184857,0.3583637909372744,0.07748760330578512,0.5707578750693774,0.2726805645322031
insul_thick,0.08500056625712893,0.0823759060811878,-3.087814930551702,0.020227431198151503,0.020524912419231194,0.07583471074380166,0.5976758045069619,0.2875105980554795
fresh_air_ach,0.8500217087638959,0.8627353754237682,1.4956872899588136,0.20227335239102381,0.19560894887546482,0.07282644628099173,0.6478049938671555,0.27535507426460815
