feature,abs_SRC,SRC,shap_abs_mean,src_rank,shap_rank,rank_delta
dhw_per_person,0.7942959831812226,0.7942959831812226,21.504902,1.0,1.0,0.0
floor_num,0.7000386650579773,-0.7000386650579773,1.9531385,2.0,4.0,-2.0
room_count,0.5574859371857347,0.5574859371857347,1.0657656,3.0,6.0,-3.0
footprint_area_m2,0.43404231435825497,-0.43404231435825497,0.6522141,4.0,11.0,-7.0
dhw_temp,0.1894718807049049,0.1894718807049049,1.9722117,5.0,3.0,2.0
boiler_eff,0.10535788284061352,-0.10535788284061352,0.29648054,6.0,27.0,-21.0
operation_hours,0.09910171309708803,0.09910171309708803,0.6938668,7.0,10.0,-3.0
wwr,0.09606616612249809,0.09606616612249809,1.1212653,8.0,5.0,3.0
orientation_sin,0.09332251296134553,0.09332251296134553,0.3085191,9.0,25.0,-16.0
orientation_cos,0.06435654943835219,0.06435654943835219,0.12595029,10.0,37.0,-27.0
u_roof,0.06378588205460058,0.06378588205460058,0.6288594,11.0,13.0,-2.0
fresh_air_ach,0.05621569613797853,0.05621569613797853,0.28947622,12.0,29.0,-17.0
heat_set,0.04213423461927468,0.04213423461927468,0.3519853,13.0,22.0,-9.0
aspect_ratio,0.041269503619169486,0.041269503619169486,0.5822983,14.0,14.0,0.0
shgc_w,0.03866706215341183,0.03866706215341183,0.8436644,15.0,8.0,7.0
occupancy_density,0.03824712850835077,0.03824712850835077,0.82482773,16.0,9.0,7.0
light_power,0.03804950801430679,0.03804950801430679,0.29296437,17.0,28.0,-11.0
cop_heating,0.03734903446710858,-0.03734903446710858,0.4272733,18.0,19.0,-1.0
equip_power,0.03717618282799945,0.03717618282799945,0.87305576,19.0,7.0,12.0
cop_cooling,0.03503989919805973,-0.03503989919805973,0.24862692,20.0,31.0,-11.0
window_type_2,0.028552804876774737,0.028552804876774737,0.02255211,21.0,39.0,-18.0
u_win_w,0.028290948666515235,-0.028290948666515235,0.19375663,22.0,34.0,-12.0
shgc_s,0.02552411498272068,-0.02552411498272068,0.21436161,23.0,32.0,-9.0
u_ground,0.025023613776042265,-0.025023613776042265,0.2987197,24.0,26.0,-2.0
u_win_n,0.022756658674215526,-0.022756658674215526,0.3351036,25.0,24.0,1.0
floor_height,0.018913231815538237,0.018913231815538237,0.4654699,26.0,16.0,10.0
cool_set,0.015677071621211465,-0.015677071621211465,0.6487846,27.0,12.0,15.0
window_type_3,0.014248065964049025,0.014248065964049025,0.099147424,28.0,38.0,-10.0
wall_thick,0.01413988820612085,-0.01413988820612085,0.17664763,29.0,36.0,-7.0
public_area,0.012803000776226517,0.012803000776226517,0.18414903,30.0,35.0,-5.0
shgc_e,0.01197923772717895,-0.01197923772717895,0.5204962,31.0,15.0,16.0
fan_eff,0.011569074984831946,-0.011569074984831946,0.40188882,32.0,20.0,12.0
u_win_e,0.009912705837581992,0.009912705837581992,0.4299351,33.0,18.0,15.0
u_wall,0.009560873026565182,0.009560873026565182,0.39508238,34.0,21.0,13.0
insul_thick,0.008433793583427381,-0.008433793583427381,0.277742,35.0,30.0,5.0
shgc_n,0.008073190016654738,-0.008073190016654738,0.33512685,36.0,23.0,13.0
u_win_s,0.005654655201514345,-0.005654655201514345,0.4633584,37.0,17.0,20.0
roof_insul_thick,0.004919857662032515,0.004919857662032515,0.21197422,38.0,33.0,5.0
room_area,0.002305503611405222,-0.002305503611405222,5.3097124,39.0,2.0,37.0
